Plant Species,Antidiabetic,Hypoglycemic,Antihyperglycemic,α-amylase inhibitor,α-glucosidase inhibitor,outcome
Acacia nilotica,5,0,0,0,0,1
Acacia catechu,0,0,3,0,0,0
Acacia farnesiana,5,0,0,0,0,1
Acacia tortilis,5,0,0,0,0,1
Acacia senegal,5,0,0,0,0,1
Acacia ferruginea,5,0,0,0,0,1
Acacia nilotica,5,0,0,0,0,1
Acacia modesta,0,0,3,0,0,0
Acacia arabica,0,4,3,0,0,1
Acalypha indica,5,0,0,0,0,1
Acalypha langiana,5,0,0,0,0,1
Acalypha wilkesiana,5,0,0,0,0,1
Acanthopanax gracilistylus,5,0,0,0,0,1
Acanthopanax koreanum,5,0,0,0,0,1
Acanthopanax senticosus,5,0,0,0,0,1
Acanthopanax sessiliflorus,5,0,0,0,0,1
Achillea millefolium,5,0,0,0,0,1
Achillea santolina,5,0,0,0,0,1
Alisma orientale,5,4,0,0,0,1
Allium ampeloprasum,5,0,0,0,0,1
Allium cepa,0,0,3,0,0,0
Allium porrum,0,4,0,0,0,0
Allium sativum,0,4,3,2,1,1
Allium stipitatum,0,4,0,0,1,1
Aloe ferox,5,0,0,0,0,1
Aloe marlothii,5,0,0,0,0,1
Aloe vera,0,4,0,2,0,1
Alpinia calcarata,5,0,0,0,0,1
Alpinia galanga,5,0,0,0,0,1
Alpinia officinarum,0,4,0,0,0,0
Amaranthus cruentus,5,0,0,0,0,1
Amaranthus hybridus,5,0,0,0,0,1
Amaranthus spinosus,0,0,0,0,1,0
Angelica hirsutiflora,5,0,0,0,0,1
Angelica keiskei,5,0,0,0,0,1
Angelica sinensis,5,0,0,0,0,1
Aralia cachemirica,5,0,0,0,0,1
Aralia cortex,5,0,0,0,0,1
Aralia elata,0,0,0,0,1,0
Aralia taibaiensis,0,0,0,2,1,0
Artemisia absinthium,5,0,0,0,0,1
Artemisia afra,5,0,0,0,0,1
Artemisia campestris,5,0,0,0,0,1
Artemisia capillaris,5,0,0,0,0,1
Artemisia dracunculus,5,0,0,0,0,1
Artemisia judaica,5,0,0,0,0,1
Artemisia herba-alba,0,4,0,0,0,0
Artemisia ludoviciana,0,4,0,0,0,0
Artemisia pallens,5,0,0,0,0,1
Artemisia parviflora,5,0,0,0,0,1
Artemisia princeps,5,0,0,0,0,1
Artemisia roxburghiana,5,0,0,0,0,1
Artemisia sacrorum,5,0,0,0,0,1
Artocarpus altilis  ,5,0,0,0,0,1
Artocarpus communis,5,0,0,0,0,1
Artocarpus heterophyllus,0,4,0,2,0,1
Artocarpus mariannensis,5,0,0,0,0,1
Astragalus complanatus,5,0,0,0,0,1
Astragalus membranaceus,5,0,0,0,0,1
Astragalus propinquus,0,0,0,0,1,0
Averrhoa bilimbi,5,0,0,0,0,1
Averrhoa carambola,0,0,3,0,0,0
Berberis aristata,5,0,0,0,0,1
Berberis asiatica,5,0,0,0,0,1
Berberis vulgaris,5,0,0,0,0,1
Brassica juncea,5,0,0,0,0,1
Brassica oleracea,0,0,3,0,0,0
Brassica rapa,5,0,0,0,0,1
Buddleja asiatica,5,0,0,0,0,1
Buddleja cordata,5,0,0,0,0,1
Buddleja officinalis,5,0,0,0,0,1
Butea monosperma,5,0,0,0,0,1
Butea frondosa,5,0,0,0,0,1
Caesalpinia bonducella,0,0,0,2,0,0
Caesalpinia ferrea,5,0,0,0,0,1
Calamus tenuis,5,0,0,0,0,1
Calamus erectus,5,0,0,0,0,1
Calotropis gigantea,0,0,3,0,0,0
Calotropis procera,5,0,0,0,0,1
Capparis aphylla,0,0,3,0,0,0
Capparis decidua,5,0,0,0,0,1
Capparis sepiaria,5,0,0,0,0,1
Capparis spinosa,5,0,0,0,0,1
Caralluma adscendens,5,0,0,0,0,1
Caralluma umbellata,0,0,3,0,0,0
Carissa carandas,5,0,0,0,0,1
Carissa spinarum,5,0,0,0,0,1
Cassia auriculata,5,0,0,0,0,1
Cassia fistula,5,0,0,0,0,1
Cassia obtusifolia,5,0,0,0,0,1
Cassia sieberiana,5,0,0,0,0,1
Cassia spectabilis,5,0,0,0,0,1
Centaurea karduchorum,5,0,0,0,0,1
Centaurea repens,5,0,0,0,0,1
Centaurea virgata,5,0,0,0,0,1
Cichorium pumilum,5,0,0,0,0,1
Cichorium intybus,5,0,0,0,0,1
Cinnamomum burmannii,5,0,0,0,0,1
Cinnamomum cassia   ,5,0,0,0,0,1
Cinnamomum impressinervium,5,0,0,0,0,1
Cinnamomum iners,5,0,0,0,0,1
Cinnamomum japonicum,5,0,0,0,0,1
Cinnamomum obtusifolium,5,0,0,0,0,1
Cinnamomum tamala,0,4,0,0,0,0
Cinnamomum verum,0,0,0,2,0,0
Cinnamomum zeylanicum,0,0,0,0,1,0
Cistus laurifolius,5,0,0,0,0,1
Cistus ladaniferus,5,0,0,0,0,1
Cistus monspeliensis,5,0,0,0,0,1
Cistus salviifolius,5,0,0,0,0,1
Citrus aurantium,5,0,0,0,0,1
Citrus grandis,5,0,0,0,0,1
Citrus paradisi,5,0,0,0,0,1
Citrus reticulata,5,0,0,0,0,1
Citrus sinensis,5,0,0,0,0,1
Clerodendrum glandulosum,5,0,0,0,0,1
Clerodendrum colebrookianum,5,0,0,0,0,1
Clerodendrum capitatum,5,0,0,0,0,1
Clerodendrum inerme,5,0,0,0,0,1
Clerodendrum infortunatum,5,0,0,0,0,1
Clerodendrum phlomidis,5,0,0,0,0,1
Coccinia cordifolia,5,0,0,0,0,1
Coccinia grandis,0,0,3,2,1,1
Coccinia indica,5,0,0,0,0,1
Coptis chinensis,5,0,0,0,0,1
Coptis deltoidea,5,0,0,0,0,1
Coptis japonica,5,0,0,0,0,1
Cordyceps sinensis,5,0,0,0,0,1
Cordyceps militaris,5,0,0,0,0,1
Cornus officinalis,5,0,0,0,1,1
Cornus kousa,5,0,0,0,0,1
Cornus mas,5,0,0,0,0,1
Cornus nuttallii,5,0,0,0,0,1
Cornus stolonifera,5,0,0,0,0,1
Costus igneus,5,0,0,0,0,1
Costus pictus,5,0,0,0,0,1
Costus speciosus,5,0,0,0,0,1
Croton cajucara,5,0,0,0,0,1
Croton celtidifolius,5,0,0,0,0,1
Croton guatemalensis,5,0,0,0,0,1
Croton klozchianus,5,0,0,0,0,1
